VALENCE -per subject
NAME, RMSE, PearsonCoefficient, MAE, CCC
LSTM_80_timesteps_10_optimizer_sgd_lr_0.0001_batch_75_epochs_500_realStopEpoch_84, 0.12804427045249664, 0.345568296179, 0.10110438387, 0.282696062875
LSTM_80_timesteps_10_optimizer_sgd_lr_0.0001_batch_128_epochs_500_realStopEpoch_69, 0.12291787089796961, 0.358071497731, 0.098357526534, 0.27247949
LSTM_80_timesteps_10_optimizer_sgd_lr_0.0001_batch_200_epochs_500_realStopEpoch_137, 0.12110954498661514, 0.353725908131, 0.096254256007, 0.270058472903
LSTM_100_timesteps_10_optimizer_sgd_lr_0.0001_batch_75_epochs_500_realStopEpoch_138, 0.12689859011974464, 0.356739626726, 0.100652350759, 0.281014376081
LSTM_100_timesteps_10_optimizer_sgd_lr_0.0001_batch_128_epochs_500_realStopEpoch_103, 0.12342775506145645, 0.353702514027, 0.0986043659746, 0.27176726528
LSTM_100_timesteps_10_optimizer_sgd_lr_0.0001_batch_200_epochs_500_realStopEpoch_72, 0.12250576325369043, 0.341416623584, 0.0964596545738, 0.268541752419
LSTM_120_timesteps_10_optimizer_sgd_lr_0.0001_batch_75_epochs_500_realStopEpoch_89, 0.1252409222832989, 0.367923960586, 0.099885932988, 0.282639801275
LSTM_120_timesteps_10_optimizer_sgd_lr_0.0001_batch_128_epochs_500_realStopEpoch_75, 0.12448112579428168, 0.32993420334, 0.0985202103845, 0.249551907205
LSTM_120_timesteps_10_optimizer_sgd_lr_0.0001_batch_200_epochs_500_realStopEpoch_69, 0.12122190737136314, 0.371251865394, 0.0962515191571, 0.277607350363
LSTM_150_timesteps_10_optimizer_sgd_lr_0.0001_batch_75_epochs_500_realStopEpoch_106, 0.12602958466153563, 0.364046472834, 0.100699625515, 0.282665017339
LSTM_150_timesteps_10_optimizer_sgd_lr_0.0001_batch_128_epochs_500_realStopEpoch_96, 0.12266753317420549, 0.377094945064, 0.0974552684908, 0.286471978817
LSTM_150_timesteps_10_optimizer_sgd_lr_0.0001_batch_200_epochs_500_realStopEpoch_83, 0.12095459837236229, 0.37406603477, 0.096094462431, 0.272591941963
LSTM_80_timesteps_10_optimizer_adam_lr_0.0001_batch_75_epochs_500_realStopEpoch_16, 0.13487082607356118, 0.362719291346, 0.107352521884, 0.292724035098
LSTM_80_timesteps_10_optimizer_adam_lr_0.0001_batch_128_epochs_500_realStopEpoch_14, 0.13364098361611362, 0.359552881653, 0.104584864844, 0.300162972142
LSTM_80_timesteps_10_optimizer_adam_lr_0.0001_batch_200_epochs_500_realStopEpoch_19, 0.12888600088728616, 0.363401215273, 0.101783962563, 0.298988718966
LSTM_100_timesteps_10_optimizer_adam_lr_0.0001_batch_75_epochs_500_realStopEpoch_6, 0.12934620772455166, 0.389258467595, 0.103849405159, 0.291991862901
LSTM_100_timesteps_10_optimizer_adam_lr_0.0001_batch_128_epochs_500_realStopEpoch_8, 0.13102257735915443, 0.365381330235, 0.105105125201, 0.275488088038
LSTM_100_timesteps_10_optimizer_adam_lr_0.0001_batch_200_epochs_500_realStopEpoch_16, 0.12892788860897075, 0.376902539234, 0.102858901405, 0.304689477653
LSTM_120_timesteps_10_optimizer_adam_lr_0.0001_batch_75_epochs_500_realStopEpoch_13, 0.13150074571781542, 0.376205675639, 0.104812042621, 0.298239387683
LSTM_120_timesteps_10_optimizer_adam_lr_0.0001_batch_128_epochs_500_realStopEpoch_6, 0.1319688567115594, 0.370039875276, 0.105596743783, 0.288884980742
LSTM_120_timesteps_10_optimizer_adam_lr_0.0001_batch_200_epochs_500_realStopEpoch_20, 0.13091007967976193, 0.360168011916, 0.10340236091, 0.298521306865
LSTM_150_timesteps_10_optimizer_adam_lr_0.0001_batch_75_epochs_500_realStopEpoch_13, 0.1327584790941794, 0.36560837239, 0.106734242049, 0.287429474443
LSTM_150_timesteps_10_optimizer_adam_lr_0.0001_batch_128_epochs_500_realStopEpoch_12, 0.13081272559301108, 0.371023109541, 0.104574154914, 0.28416092175
LSTM_150_timesteps_10_optimizer_adam_lr_0.0001_batch_200_epochs_500_realStopEpoch_17, 0.12948682899575267, 0.380582436109, 0.10227806083, 0.311472656798
LSTM_120_timesteps_10_optimizer_sgd_lr_0.0001_batch_75_epochs_500_realStopEpoch_48, TRAINING:0.11895160828656867, 0.492337083658, 0.095297701871, 0.385513497652,DEV:0.12649916276283715, 0.362106592319, 0.101384562653, 0.273573288644
LSTM_120_timesteps_10_optimizer_sgd_lr_0.0001_batch_200_epochs_500_realStopEpoch_145, TRAINING:0.11654546365953312, 0.48760772176, 0.0908053885862, 0.368332244382,DEV:0.1202987840366117, 0.374529783662, 0.0953530037827, 0.276662143212
