c0,c1
2014-02-14 21:27:00,47.84
2014-02-14 21:32:00,42.774
2014-02-14 21:37:00,50.494
2014-02-14 21:42:00,45.364
2014-02-14 21:47:00,43.192
2014-02-14 21:52:00,48.356
2014-02-14 21:57:00,47.958
2014-02-14 22:02:00,44.026
2014-02-14 22:07:00,49.46
2014-02-14 22:12:00,47.11
2014-02-14 22:17:00,44.218
2014-02-14 22:22:00,47.154
2014-02-14 22:27:00,41.726
2014-02-14 22:32:00,53.662
2014-02-14 22:37:00,46.808
2014-02-14 22:42:00,44.834
2014-02-14 22:47:00,49.554
2014-02-14 22:52:00,45.822
2014-02-14 22:57:00,46.768
2014-02-14 23:02:00,50.71
2014-02-14 23:07:00,43.662
2014-02-14 23:12:00,53.544
2014-02-14 23:17:00,46.478
2014-02-14 23:22:00,43.052
2014-02-14 23:27:00,49.038
2014-02-14 23:32:00,46.238
2014-02-14 23:37:00,44.906
2014-02-14 23:42:00,48.51
2014-02-14 23:47:00,40.834
2014-02-14 23:52:00,52.364
2014-02-14 23:57:00,47.206
2014-02-15 00:02:00,43.31
2014-02-15 00:07:00,53.028
2014-02-15 00:12:00,46.644
2014-02-15 00:17:00,46.124
2014-02-15 00:22:00,47.802
2014-02-15 00:27:00,41.356
2014-02-15 00:32:00,52.184
2014-02-15 00:37:00,45.774
2014-02-15 00:42:00,42.792
2014-02-15 00:47:00,49.036
2014-02-15 00:52:00,45.634
2014-02-15 00:57:00,46.292
2014-02-15 01:02:00,46.738
2014-02-15 01:07:00,43.076
2014-02-15 01:12:00,51.71
2014-02-15 01:17:00,44.564
2014-02-15 01:22:00,42.888
2014-02-15 01:27:00,48.874
2014-02-15 01:32:00,45.658
2014-02-15 01:37:00,44.052
2014-02-15 01:42:00,47.684
2014-02-15 01:47:00,40.316
2014-02-15 01:52:00,52.438
2014-02-15 01:57:00,46.948
2014-02-15 02:02:00,43.13
2014-02-15 02:07:00,51.83
2014-02-15 02:12:00,46.272
2014-02-15 02:17:00,46.15
2014-02-15 02:22:00,48.098
2014-02-15 02:27:00,40.868
2014-02-15 02:32:00,52.63
2014-02-15 02:37:00,45.328
2014-02-15 02:42:00,43.86
2014-02-15 02:47:00,49.19
2014-02-15 02:52:00,40.032
2014-02-15 02:57:00,52.91
2014-02-15 03:02:00,46.916
2014-02-15 03:07:00,43.408
2014-02-15 03:12:00,50.222
2014-02-15 03:17:00,45.886
2014-02-15 03:22:00,43.94
2014-02-15 03:27:00,48.166
2014-02-15 03:32:00,40.822
2014-02-15 03:37:00,54.248
2014-02-15 03:42:00,46.878
2014-02-15 03:47:00,41.85
2014-02-15 03:52:00,51.548
2014-02-15 03:57:00,47.73
2014-02-15 04:02:00,45.212
2014-02-15 04:07:00,50.658
2014-02-15 04:12:00,39.87
2014-02-15 04:17:00,50.728
2014-02-15 04:22:00,46.15
2014-02-15 04:27:00,43.126
2014-02-15 04:32:00,49.672
2014-02-15 04:37:00,46.644
2014-02-15 04:42:00,44.994
2014-02-15 04:47:00,47.432
2014-02-15 04:52:00,40.212
2014-02-15 04:57:00,53.888
2014-02-15 05:02:00,43.248
2014-02-15 05:07:00,44.366
2014-02-15 05:12:00,49.126
2014-02-15 05:17:00,45.48
2014-02-15 05:22:00,44.754
2014-02-15 05:27:00,46.69
2014-02-15 05:32:00,41.76
2014-02-15 05:37:00,52.368
2014-02-15 05:42:00,44.882
2014-02-15 05:47:00,42.23
2014-02-15 05:52:00,49.624
2014-02-15 05:57:00,47.63
2014-02-15 06:02:00,44.786
2014-02-15 06:07:00,49.354
2014-02-15 06:12:00,40.702
2014-02-15 06:17:00,51.666
2014-02-15 06:22:00,45.0
2014-02-15 06:27:00,43.616
2014-02-15 06:32:00,50.822
2014-02-15 06:37:00,44.414
2014-02-15 06:42:00,44.232
2014-02-15 06:47:00,48.236
2014-02-15 06:52:00,41.08
2014-02-15 06:57:00,53.92
2014-02-15 07:02:00,46.22
2014-02-15 07:07:00,43.522
2014-02-15 07:12:00,49.74
2014-02-15 07:17:00,43.592
2014-02-15 07:22:00,41.808
2014-02-15 07:27:00,49.366
2014-02-15 07:32:00,45.492
2014-02-15 07:37:00,44.296
2014-02-15 07:42:00,49.706
2014-02-15 07:47:00,40.868
2014-02-15 07:52:00,51.808
2014-02-15 07:57:00,48.562
2014-02-15 08:02:00,41.902
2014-02-15 08:07:00,53.708
2014-02-15 08:12:00,46.55
2014-02-15 08:17:00,41.338
2014-02-15 08:22:00,48.366
2014-02-15 08:27:00,41.878
2014-02-15 08:32:00,52.342
2014-02-15 08:37:00,46.502
2014-02-15 08:42:00,42.276
2014-02-15 08:47:00,50.104
2014-02-15 08:52:00,45.728
2014-02-15 08:57:00,45.494
2014-02-15 09:02:00,48.666
2014-02-15 09:07:00,48.17
2014-02-15 09:12:00,44.672
2014-02-15 09:17:00,45.54
2014-02-15 09:22:00,40.892
2014-02-15 09:27:00,50.024
2014-02-15 09:32:00,45.376
2014-02-15 09:37:00,42.746
2014-02-15 09:42:00,48.076
2014-02-15 09:47:00,46.69
2014-02-15 09:52:00,44.132
2014-02-15 09:57:00,49.898
2014-02-15 10:02:00,40.798
2014-02-15 10:07:00,53.216
2014-02-15 10:12:00,45.298
2014-02-15 10:17:00,41.76
2014-02-15 10:22:00,48.662
2014-02-15 10:27:00,45.536
2014-02-15 10:32:00,45.044
2014-02-15 10:37:00,48.068
2014-02-15 10:42:00,41.77
2014-02-15 10:47:00,51.738
2014-02-15 10:52:00,47.558
2014-02-15 10:57:00,43.122
2014-02-15 11:02:00,50.234
2014-02-15 11:07:00,47.474
2014-02-15 11:12:00,43.17
2014-02-15 11:17:00,47.418
2014-02-15 11:22:00,39.86
2014-02-15 11:27:00,51.456
2014-02-15 11:32:00,44.32
2014-02-15 11:37:00,42.206
2014-02-15 11:42:00,49.272
2014-02-15 11:47:00,46.066
2014-02-15 11:52:00,45.164
