relation;source;target;weight
SymbolOf;🕐;00;1.0
SymbolOf;🕑;00;1.0
SymbolOf;🕒;00;1.0
SymbolOf;🕓;00;1.0
SymbolOf;🕔;00;1.0
SymbolOf;🕕;00;1.0
SymbolOf;🕖;00;1.0
SymbolOf;🕗;00;1.0
SymbolOf;🕘;00;1.0
SymbolOf;🕙;00;1.0
SymbolOf;🕚;00;1.0
SymbolOf;🕛;00;1.0
SimilarTo;12;cardinal;2.0
SimilarTo;cardinal;12;2.0
Synonym;12;12;2.0
Synonym;dotze;12;2.0
Synonym;XII;12;2.0
Synonym;12;twelve;2.0
Synonym;dozen;12;2.0
Synonym;twelve;12;2.0
Synonym;xii;12;2.0
Synonym;دوازده;12;2.0
Synonym;دوازده عدد;12;2.0
Synonym;دوجین;12;2.0
Synonym;یک دوجین;12;2.0
Synonym;kaksitoista-;12;2.0
Synonym;tusina-;12;2.0
Synonym;xii-;12;2.0
Synonym;12;12;2.0
Synonym;dizaine;12;2.0
Synonym;douze;12;2.0
Synonym;12;12;2.0
SimilarTo;30;cardinal;2.0
SimilarTo;cardinal;30;2.0
Synonym;30;30;2.0
Synonym;trenta;30;2.0
Synonym;XXX;30;2.0
Synonym;30;thirty;2.0
Synonym;thirty;30;2.0
Synonym;xxx;30;2.0
Synonym;kolmekymmentä-;30;2.0
Synonym;xxx-;30;2.0
Synonym;trente;30;2.0
Synonym;30;30;2.0
Synonym;trenta;30;2.0
Synonym;tiga puluh;30;2.0
Synonym;30;30;2.0
Synonym;๓๐;30;2.0
Synonym;สามสิบ;30;2.0
ExternalURL;30;302196945-s;1.0
ExternalURL;30;30;1.0
ExternalURL;30;30;1.0
SimilarTo;500;cardinal;2.0
SimilarTo;cardinal;500;2.0
Synonym;500;500;2.0
Synonym;cinc-cents;500;2.0
Synonym;D;500;2.0
Synonym;500;five hundred;2.0
Synonym;d;500;2.0
Synonym;five hundred;500;2.0
Synonym;d-;500;2.0
Synonym;viisisataa-;500;2.0
Synonym;cinq cents;500;2.0
Synonym;cinquecento;500;2.0
Synonym;五百;500;2.0
Synonym;500;500;2.0
Synonym;๕๐๐;500;2.0
Synonym;ห้าร้อย;500;2.0
ExternalURL;500;302206300-s;1.0
HasContext;500;sports;1.0
HasProperty;500;five hundred;1.0
RelatedTo;five hundred;500;1.0
FormOf;80s;eighties;2.0
Synonym;80s;1980s;2.0
FormOf;80 s;80s;1.0
FormOf;eighties;80s;1.0
RelatedTo;80s;1980s;1.0
RelatedTo;80s;decade;1.0
RelatedTo;80s;décennie;1.0
Synonym;1980s;80s;1.0
EtymologicallyRelatedTo;80s;1980s;0.25
ExternalURL;80s;'80s;0.25
ExternalURL;80s;80s;0.25
ExternalURL;80s;80s;0.25
ExternalURL;abberline;Abberline;0.25
Synonym;ably;competently;2.0
RelatedTo;dovedně;ably;1.0
RelatedTo;ably;ability;1.0
RelatedTo;ably;able;1.0
RelatedTo;ably;manner;1.0
RelatedTo;ably;adroit;1.0
RelatedTo;ably;capable;1.0
RelatedTo;ably;habilement;1.0
RelatedTo;eble;ably;1.0
RelatedTo;hábilmente;ably;1.0
RelatedTo;taitavasti;ably;1.0
RelatedTo;მარჯვედ;ably;1.0
RelatedTo;izdarīgāk;ably;1.0
RelatedTo;izdarīgi;ably;1.0
RelatedTo;spējīgāk;ably;1.0
RelatedTo;spējīgi;ably;1.0
RelatedTo;visspējīgāk;ably;1.0
RelatedTo;capabliément;ably;1.0
RelatedTo;habilmente;ably;1.0
RelatedTo;искусно;ably;1.0
Synonym;absinthe;absinth;2.0
Synonym;absinthe;common wormwood;2.0
Synonym;absinthe;apsint;2.0
Synonym;アブサン;absinthe;2.0
Synonym;苦艾;absinthe;2.0
Synonym;苦艾酒;absinthe;1.5
DerivedFrom;absinthiana;absinthe;1.0
ExternalURL;absinthe;Absinthe;1.0
ExternalURL;absinthe;Absinthe;1.0
ExternalURL;absinthe;Q170210;1.0
ExternalURL;absinthe;Absinthe;1.0
FormOf;absinthes;absinthe;1.0
FormOf;absinth;absinthe;1.0
FormOf;absynthe;absinthe;1.0
HasContext;absinthe;us;1.0
IsA;absinthe;bitterness;1.0
IsA;absinthe;green;1.0
IsA;absinthe;hard liquor;1.0
IsA;absinthe;illegal drug;1.0
RelatedTo;axenxu;absinthe;1.0
HasContext;accent;language;2.0
IsA;accent;diacritical mark;2.0
IsA;accent;pronunciation;2.0
IsA;acute accent;accent;2.0
IsA;drawl;accent;2.0
IsA;grave accent;accent;2.0
IsA;stress mark;accent;2.0
RelatedTo;cockney;accent;2.0
RelatedTo;naglasak;accent;2.0
RelatedTo;naglašavati;accent;2.0
RelatedTo;naglasiti;accent;2.0
Synonym;accent;accent;2.0
Synonym;deix;accent;2.0
Synonym;accent;naglasak;2.0
Synonym;accent mark;accent;2.0
Synonym;accent;dialect;2.0
Synonym;accent;emphasis;2.0
Synonym;accent;stress;2.0
Synonym;accent;stress;2.0
Synonym;speech pattern;accent;2.0
RelatedTo;stage;acting;3.4945672121165448
HasSubevent;go on the stage;acting;2.82842712474619
CausesDesire;acting;pretend;2.0
HasSubevent;pretending;acting;2.0
IsA;acting;activity;2.0
IsA;acting;performing arts;2.0
IsA;business;acting;2.0
IsA;hamming;acting;2.0
IsA;heroics;acting;2.0
IsA;impersonation;acting;2.0
IsA;method acting;acting;2.0
IsA;mime;acting;2.0
IsA;portrayal;acting;2.0
IsA;reenactment;acting;2.0
IsA;roleplaying;acting;2.0
IsA;skit;acting;2.0
PartOf;acting;performance;2.0
RelatedTo;и.о;acting;2.0
SimilarTo;acting;impermanent;2.0
SimilarTo;impermanent;acting;2.0
FormOf;acts;act;2.0
Synonym;Acts;Acts of the Apostles;2.0
Synonym;条例;acts;2.0
Synonym;法令;acts;2.0
RelatedTo;play;acts;1.4300000000000002
FormOf;acts;act;1.0
FormOf;acts;act;1.0
FormOf;acts;act;1.0
HasContext;acts;biblical;1.0
IsA;One book of the Bible;Acts;1.0
RelatedTo;acts;act;1.0
RelatedTo;acts;act;1.0
RelatedTo;crime;acts;1.0
RelatedTo;ritornello;acts;1.0
RelatedTo;hechos;acts;1.0
RelatedTo;条例;acts;1.0
RelatedTo;acta;acts;1.0
RelatedTo;áhátʼíinii;acts;1.0
Synonym;acts of apostles;acts;1.0
ExternalURL;acts;acts;0.25
DerivedFrom;actually;actual;2.0
RelatedTo;realno;actually;2.0
RelatedTo;zapravo;actually;2.0
Synonym;actually;in reality;2.0
Synonym;actually;really;2.0
Synonym;actualmente;actually;2.0
Synonym;itse asiassa;actually;2.0
Synonym;nyt;actually;2.0
Synonym;oikeastaan;actually;2.0
Synonym;tällä hetkellä;actually;2.0
Synonym;effectivement;actually;2.0
Synonym;véritablement;actually;2.0
Synonym;vraiment;actually;2.0
Synonym;アクチャリ;actually;2.0
Synonym;アクチュアリ;actually;2.0
Synonym;事実上;actually;2.0
Synonym;実に;actually;2.0
Synonym;実は;actually;2.0
Synonym;実際;actually;2.0
Synonym;寔に;actually;2.0
SimilarTo;adapted;modified;2.0
SimilarTo;modified;adapted;2.0
Synonym;altered;adapted;2.0
Synonym;mukautettu;adapted;2.0
Synonym;muutettu;adapted;2.0
Synonym;sovitettu;adapted;2.0
Synonym;adaptado;adapted;2.0
DerivedFrom;coadapted;adapted;1.0
DerivedFrom;nonadapted;adapted;1.0
DerivedFrom;preadapted;adapted;1.0
ExternalURL;adapted;301544805-s;1.0
FormOf;adapted;adapt;1.0
RelatedTo;استوى;adapted;1.0
RelatedTo;přizpůsobený;adapted;1.0
RelatedTo;angepasst;adapted;1.0
RelatedTo;acclimated;adapted;1.0
RelatedTo;adaptable;adapted;1.0
RelatedTo;adaptation;adapted;1.0
RelatedTo;adaptative;adapted;1.0
RelatedTo;adapted;alteration;1.0
FormOf;alans;alan;2.0
Synonym;アラン;alan;2.0
CapableOf;Alan;plant begonias;1.0
DerivedFrom;al;alan;1.0
EtymologicallyDerivedFrom;allan;alan;1.0
EtymologicallyDerivedFrom;alan;alan;1.0
ExternalURL;alan;Alan (given name);1.0
ExternalURL;alan;Q294833;1.0
FormOf;alani;alan;1.0
HasContext;alan;historical;1.0
IsA;Alan;a fireman;1.0
RelatedTo;alaina;alan;1.0
RelatedTo;alana;alan;1.0
RelatedTo;alan;alain;1.0
RelatedTo;alania;alan;1.0
RelatedTo;alan;alania;1.0
RelatedTo;alan;alanic;1.0
RelatedTo;alan;eastern iranian;1.0
RelatedTo;alan;nomadic;1.0
RelatedTo;alan;ossetian;1.0
Synonym;Albert;Albert Francis Charles Augustus Emmanuel;2.0
DerivedFrom;albert chain;albert;1.0
DerivedFrom;albert lea;albert;1.0
DerivedFrom;albie;albert;1.0
DerivedFrom;prince albert;albert;1.0
EtymologicallyDerivedFrom;albert;æþelbeorht;1.0
EtymologicallyDerivedFrom;ʻalapaki;albert;1.0
EtymologicallyDerivedFrom;艾伯特;albert;1.0
ExternalURL;albert;Albert (given name);1.0
ExternalURL;albert;Q577011;1.0
RelatedTo;albert;albert;1.0
RelatedTo;albert;albert;1.0
RelatedTo;albert;albert;1.0
RelatedTo;alberta;albert;1.0
RelatedTo;albert;masculin;1.0
RelatedTo;albert;prénom;1.0
RelatedTo;albertina;albert;1.0
RelatedTo;albert;al;1.0
RelatedTo;albert;alberta;1.0
RelatedTo;albert;belize;1.0
Synonym;Allen;Allen Stewart Konigsberg;2.0
Synonym;Allen;Ethan Allen;2.0
Synonym;Allen;Grace Ethel Cecile Rosalie Allen;2.0
DerivedFrom;allen county;allen;1.0
DerivedFrom;allenesque;allen;1.0
DerivedFrom;allen key;allen;1.0
DerivedFrom;allen parish;allen;1.0
ExternalURL;allen;Allen (Prison Break);1.0
ExternalURL;allen;Q291001;1.0
RelatedTo;allan;allen;1.0
RelatedTo;allen;alan;1.0
RelatedTo;allen;prénom;1.0
