Id;Label
 change something; change something
100881724-n;100881724-n
104614756-n;104614756-n
105719153-n;105719153-n
106151863-n;106151863-n
106656868-n;106656868-n
2 ears;2 ears
302737745-a;302737745-a
80386;80386
A bomb;A bomb
A camera;A camera
A human body;A human body
A musical instrument;A musical instrument
A sensor;A sensor
Alexandrine;Alexandrine
An Internet;An Internet
An apple;An apple
An event;An event
An eye;An eye
An operator;An operator
CPU;CPU
Camera;Camera
Ciberespaço;Ciberespaço
Corps humain;Corps humain
Curie temperature;Curie temperature
Data center;Data center
Ecstasy;Ecstasy
Email;Email
Emotion ;Emotion 
Hapiness;Hapiness
Happiness;Happiness
HeartRateMonitor;HeartRateMonitor
Humans;Humans
Internet;Internet
Loudness;Loudness
Mind;Mind
Monitoring;Monitoring
NET;NET
NLP;NLP
Natural language processing;Natural language processing
Nitrobenzaldéhyde;Nitrobenzaldéhyde
Openmind;Openmind
Operador;Operador
Pleasure;Pleasure
Processamento de linguagem natural;Processamento de linguagem natural
Prosódia;Prosódia
Q30642;Q30642
Q622324;Q622324
Q671224;Q671224
Q676880;Q676880
Sadness;Sadness
Singing;Singing
Talking;Talking
Temperatura;Temperatura
Text mining;Text mining
TextMining;TextMining
The Internet;The Internet
The internet;The internet
Voz humana;Voz humana
Webcam;Webcam
Your internet;Your internet
a CPU;a CPU
a bald eagle;a bald eagle
a bone;a bone
a book;a book
a camera;a camera
a circuit;a circuit
a collection of connected computers;a collection of connected computers
a computer;a computer
a connection;a connection
a core;a core
a country;a country
a desktop;a desktop
a device;a device
a disease;a disease
a face;a face
a flash;a flash
a friend's house;a friend's house
a funeral;a funeral
a good feeling;a good feeling
a home;a home
a human body;a human body
a lens;a lens
a library;a library
a log;a log
a motherboard;a motherboard
a muscle;a muscle
a network;a network
a network of communicating computers;a network of communicating computers
a nose;a nose
a person;a person
a picture;a picture
a radio;a radio
a router;a router
a song;a song
a stethoscope;a stethoscope
a suitcase;a suitcase
a text;a text
a tool for taking pictures;a tool for taking pictures
a voice;a voice
a wall;a wall
a website;a website
abhorrence;abhorrence
absolute temperature;absolute temperature
absolute zero;absolute zero
acatalectic;acatalectic
achromatic;achromatic
acoustic device;acoustic device
acoustic power;acoustic power
acquaintance;acquaintance
activity;activity
adapter;adapter
