c0,c1
2014-02-14 17:22:00,44.6415066923
2014-02-14 17:27:00,43.8830828376
2014-02-14 17:32:00,44.9762718291
2014-02-14 17:37:00,44.7329814786
2014-02-14 17:42:00,45.0077186838
2014-02-14 17:47:00,44.3181374444
2014-02-14 17:52:00,44.3299791624
2014-02-14 17:57:00,44.4492185812
2014-02-14 18:02:00,44.5147882051
2014-02-14 18:07:00,44.7114091368
2014-02-14 18:12:00,44.8512783761
2014-02-14 18:17:00,44.1170674188
2014-02-14 18:22:00,43.8065713761
2014-02-14 18:27:00,43.8726188291
2014-02-14 18:32:00,42.9886625726
2014-02-14 18:37:00,43.2072499744
2014-02-14 18:42:00,43.4057848205
2014-02-14 18:47:00,43.2027628376
2014-02-14 18:52:00,42.6772842735
2014-02-14 18:57:00,42.5882376752
2014-02-14 19:02:00,42.4181464615
2014-02-14 19:07:00,41.8681622393
2014-02-14 19:12:00,42.2447753162
2014-02-14 19:17:00,40.9317115641
2014-02-14 19:22:00,41.5528165897
2014-02-14 19:27:00,40.1437645983
2014-02-14 19:32:00,39.8845812821
2014-02-14 19:37:00,40.568704094
2014-02-14 19:42:00,39.844945094
2014-02-14 19:47:00,40.4318143761
2014-02-14 19:52:00,40.0654794615
2014-02-14 19:57:00,40.7628550769
2014-02-14 20:02:00,40.1351967436
2014-02-14 20:07:00,39.5675888718
2014-02-14 20:12:00,40.656886812
2014-02-14 20:17:00,40.1642741026
2014-02-14 20:22:00,40.054168
2014-02-14 20:27:00,39.2954568205
2014-02-14 20:32:00,39.0329803846
2014-02-14 20:37:00,38.475575188
2014-02-14 20:42:00,38.5719038547
2014-02-14 20:47:00,39.7016956667
2014-02-14 20:52:00,37.9349719231
2014-02-14 20:57:00,37.833510188
2014-02-14 21:02:00,39.1706468889
2014-02-14 21:07:00,39.1419919145
2014-02-14 21:12:00,38.1836002564
2014-02-14 21:17:00,37.6365723333
2014-02-14 21:22:00,38.6678847521
2014-02-14 21:27:00,37.2761490598
2014-02-14 21:32:00,38.2130293333
2014-02-14 21:37:00,37.3912988547
2014-02-14 21:42:00,37.5712124103
2014-02-14 21:47:00,37.2592510513
2014-02-14 21:52:00,37.4727390171
2014-02-14 21:57:00,37.5008052051
2014-02-14 22:02:00,36.6299845299
2014-02-14 22:07:00,36.8264093419
2014-02-14 22:12:00,37.3422113333
2014-02-14 22:17:00,36.2177679829
2014-02-14 22:22:00,37.5612252735
2014-02-14 22:27:00,36.0519530598
2014-02-14 22:32:00,35.6671405641
2014-02-14 22:37:00,36.8474875556
2014-02-14 22:42:00,35.3889828291
2014-02-14 22:47:00,36.303538
2014-02-14 22:52:00,35.0978428291
2014-02-14 22:57:00,35.3759322393
2014-02-14 23:02:00,35.8123835385
2014-02-14 23:07:00,36.481031812
2014-02-14 23:12:00,37.733445265
2014-02-14 23:17:00,38.4896985214
2014-02-14 23:22:00,39.4982425556
2014-02-14 23:27:00,40.6714036496
2014-02-14 23:32:00,40.1047069402
2014-02-14 23:37:00,40.8451720256
2014-02-14 23:42:00,41.2415168889
2014-02-14 23:47:00,42.7524221538
2014-02-14 23:52:00,42.8936220769
2014-02-14 23:57:00,44.4771808034
2014-02-15 00:02:00,43.496431453
2014-02-15 00:07:00,43.1281176923
2014-02-15 00:12:00,42.9664571538
2014-02-15 00:17:00,41.5262590598
2014-02-15 00:22:00,41.084074906
2014-02-15 00:27:00,41.1299035385
