relation;source;target;weight
CapableOf;humans;die only once;10.583005244258363
AtLocation;humans;a country;6.928203230275509
HasA;humans;brains;5.656854249492381
HasA;Humans;two legs;4.898979485566356
CapableOf;Humans;run;4.0
HasA;humans;eyes;4.0
CapableOf;Humans;see with their eyes;3.4641016151377544
HasA;Humans;2 ears;3.4641016151377544
HasA;humans;one mouth;3.4641016151377544
AtLocation;humans;the park;2.82842712474619
CapableOf;humans; change something;2.82842712474619
CapableOf;humans;feel emotions;2.82842712474619
CapableOf;humans;have sex;2.82842712474619
CapableOf;Humans;heal;2.82842712474619
CapableOf;Humans;make mistakes;2.82842712474619
HasA;Humans;fingers;2.82842712474619
HasA;Humans;five toes on each foot;2.82842712474619
HasA;Humans;two ears;2.82842712474619
HasProperty;humans;very adaptable;2.82842712474619
IsA;Humans;bipeds;2.82842712474619
DerivedFrom;loudness;loud;2.0
RelatedTo;bučnost;loudness;2.0
RelatedTo;glasnoća;loudness;2.0
RelatedTo;glasnost;loudness;2.0
Synonym;loudness;flashiness;2.0
Synonym;loudness;volume;2.0
Synonym;ラウドネス;loudness;2.0
RelatedTo;noise;loudness;1.194
ExternalURL;loudness;Loudness;1.0
ExternalURL;loudness;Q622324;1.0
FormOf;loudnesses;loudness;1.0
RelatedTo;hlasitost;loudness;1.0
RelatedTo;lautstärke;loudness;1.0
RelatedTo;dichotic;loudness;1.0
RelatedTo;dynamic;loudness;1.0
RelatedTo;lamprophonic;loudness;1.0
RelatedTo;lamprophony;loudness;1.0
RelatedTo;loudness;amplitude;1.0
RelatedTo;loudness;decibel;1.0
RelatedTo;loudness;perceptual;1.0
IsA;anger;emotion;7.745966692414834
Causes;punishing someone;anger;3.4641016151377544
CausesDesire;anger;hurt someone else;3.4641016151377544
HasPrerequisite;punching someone;some anger;3.4641016151377544
Causes;debating politics;anger;2.82842712474619
CausesDesire;anger;kill someone;2.82842712474619
CausesDesire;anger;kill people;2.82842712474619
CausesDesire;anger;punch someone;2.82842712474619
Causes;anger;anger;2.0
Causes;competing;anger;2.0
Causes;playing soccer;anger;2.0
Causes;waiting on line;anger;2.0
Causes;watching the evening news;anger;2.0
IsA;anger;emotional arousal;2.0
IsA;anger;emotion;2.0
IsA;annoyance;anger;2.0
IsA;bad temper;anger;2.0
IsA;dander;anger;2.0
IsA;fury;anger;2.0
IsA;huffiness;anger;2.0
IsA;anger;emotion;7.745966692414834
IsA;fear;an emotion;5.656854249492381
RelatedTo;cry;emotion;4.995998398718719
RelatedTo;love;emotion;4.848917404947211
IsA;Happiness;an emotion;4.47213595499958
IsA;hate;an emotion;4.47213595499958
RelatedTo;fear;emotion;4.244997055358225
IsA;disgust;an emotion;4.0
RelatedTo;happy;emotion;3.694861296449435
IsA;Sadness;an emotion;3.4641016151377544
HasProperty;emotion;pleasant;2.82842712474619
IsA;boredom;an emotion;2.82842712474619
IsA;Ecstasy;emotion;2.82842712474619
IsA;pity;emotion;2.82842712474619
IsA;shame;emotion;2.82842712474619
PartOf;Emotion ;Mind;2.82842712474619
RelatedTo;glad;emotion;2.7488179277645877
RelatedTo;joy;emotion;2.3613555429032704
RelatedTo;surprise;emotion;2.046460358765837
Causes;going to a film;emotion;2.0
IsA;infrastructure;store;2.0
IsA;infrastructure;structure;2.0
PartOf;communication system;infrastructure;2.0
PartOf;fire station;infrastructure;2.0
PartOf;gas system;infrastructure;2.0
PartOf;grid;infrastructure;2.0
PartOf;infrastructure;system;2.0
PartOf;main;infrastructure;2.0
PartOf;penal institution;infrastructure;2.0
PartOf;public works;infrastructure;2.0
PartOf;school system;infrastructure;2.0
PartOf;sewage system;infrastructure;2.0
PartOf;transportation system;infrastructure;2.0
PartOf;water system;infrastructure;2.0
RelatedTo;infrastruktura;infrastructure;2.0
