timestamp;emotion
2018-02-07_11_50_20;surprise
2018-02-07_11_53_11;neutral
2018-02-07_11_53_43;surprise
2018-02-08_13_38_58;neutral
2018-02-08_13_39_32;neutral
2018-02-08_13_40_05;neutral
2018-02-08_13_41_09;neutral
2018-02-08_13_41_41;surprise
2018-02-08_13_42_45;neutral
2018-02-08_13_43_17;neutral
2018-02-08_13_43_49;happy
2018-02-08_13_59_52;neutral
2018-02-08_14_00_25;neutral
2018-02-08_14_00_45;surprise
2018-02-08_14_01_19;neutral
2018-02-13_13_50_06;neutral
2018-02-13_13_50_39;neutral
2018-02-13_13_51_11;surprise
2018-02-13_13_53_25;neutral
2018-02-13_13_53_57;surprise
2018-02-13_13_54_29;surprise
2018-02-13_13_55_03;surprise
2018-02-13_13_55_35;neutral
2018-02-13_13_55_49;surprise
2018-02-13_13_56_21;neutral
2018-02-13_13_56_27;surprise
2018-02-13_14_03_34;surprise
2018-02-13_14_04_18;surprise
2018-02-13_14_09_32;happy
2018-02-13_14_12_05;neutral
2018-02-13_14_14_49;neutral
2018-02-13_14_18_12;surprise
2018-02-13_14_18_59;neutral
2018-02-13_14_19_31;sadness
2018-02-15_11_55_24;happy
2018-02-15_11_55_57;happy
2018-02-15_11_56_30;happy
2018-02-15_13_13_43;happy
2018-02-15_13_14_16;neutral
2018-02-15_13_14_27;happy
2018-02-15_13_14_45;sadness
2018-02-15_13_15_03;neutral
2018-02-15_13_15_20;neutral
2018-02-15_13_20_01;neutral
2018-02-15_13_20_19;neutral
2018-02-15_13_20_37;surprise
2018-02-15_13_20_54;anger
2018-02-15_13_21_11;neutral
2018-02-15_13_21_29;anger
2018-02-15_13_21_46;happy
2018-02-15_13_22_20;neutral
2018-02-15_13_22_38;neutral
2018-02-15_13_22_56;neutral
2018-02-15_13_23_13;happy
2018-02-15_13_23_31;happy
2018-02-15_13_23_48;neutral
2018-02-15_13_24_06;neutral
2018-02-15_13_24_24;neutral
2018-02-15_13_24_41;neutral
2018-02-15_13_24_58;neutral
2018-02-15_16_55_55;happy
2018-02-15_16_56_14;neutral
2018-02-15_16_57_42;happy
2018-02-15_16_58_00;neutral
2018-02-15_16_58_17;neutral
2018-02-15_16_58_35;happy
2018-04-26_11_02_38;happy
2018-04-26_11_02_56;happy
2018-04-26_11_03_14;happy
2018-04-26_11_03_32;happy
2018-04-26_11_03_49;happy
2018-04-26_11_04_46;happy
2018-04-26_11_05_04;happy
2018-04-26_11_05_22;happy
2018-04-26_11_05_40;happy
2018-04-26_11_06_00;happy
2018-04-26_11_06_17;happy
2018-04-26_11_06_34;happy
2018-04-26_11_06_38;happy
2018-04-26_11_06_52;neutral
2018-04-26_11_06_55;neutral
2018-04-26_11_07_10;surprise
2018-04-26_11_07_13;surprise
2018-04-26_11_07_27;surprise
2018-04-26_11_07_44;happy
2018-04-26_11_08_02;happy
2018-04-26_11_08_04;happy
2018-04-26_11_08_20;surprise
2018-04-26_11_08_38;happy
2018-04-26_11_08_57;neutral
2018-04-26_11_09_16;surprise
2018-04-26_11_09_34;happy
2018-04-26_11_09_52;happy
